"datetime","main.aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2023-11-06 15:54:02+08:00",1.0,191.93,0.02,0.19,47.92,0.21,0.76,1.35,0.36,124.5225,8.5631,"2023-11-06 15:54:02.684981+08:00","El Salvador"
"2023-11-06 15:54:04+08:00",1.0,181.91,0.03,0.22,40.77,0.35,1.12,1.64,0.04,123.4992,10.8403,"2023-11-06 15:54:04.654626+08:00","Escalante"
"2023-11-06 15:54:07+08:00",1.0,447.27,0.22,9.68,35.76,2.21,5.97,9.54,6.27,120.9464,15.3072,"2023-11-06 15:54:07.307534+08:00","Gapan"
"2023-11-06 15:54:09+08:00",1.0,233.65,0.06,1.01,33.62,0.41,1.15,1.44,1.14,125.1717,6.1128,"2023-11-06 15:54:09.813474+08:00","General Santos"
"2023-11-06 15:54:12+08:00",2.0,383.85,0.22,6.86,91.55,12.52,12.74,16.69,2.72,120.8817,14.3869,"2023-11-06 15:54:12.360631+08:00","General Trias"
"2023-11-06 15:54:14+08:00",1.0,188.59,0.02,0.24,50.78,0.18,0.9,1.62,0.14,125.1167,8.8333,"2023-11-06 15:54:15.047601+08:00","Gingoog City"
"2023-11-06 15:54:17+08:00",2.0,310.42,0.1,3.04,78.68,2.44,8.65,10.94,6.59,122.8706,10.0989,"2023-11-06 15:54:17.832763+08:00","Himamaylan"
"2023-11-06 15:54:19+08:00",3.0,674.25,0.22,5.1,95.84,1.49,39.87,42.85,15.58,121.8892,17.1485,"2023-11-06 15:54:20.077317+08:00","Ilagan"
"2023-11-06 15:54:21+08:00",1.0,226.97,0.12,1.09,57.94,1.61,2.32,2.93,0.42,124.4,8.25,"2023-11-06 15:54:21.449089+08:00","Iligan City"
"2023-11-06 15:54:23+08:00",1.0,223.64,0.13,1.48,40.77,0.98,2.66,3.23,1.44,122.55,10.75,"2023-11-06 15:54:23.966253+08:00","Iloilo City"
"2023-11-06 15:54:26+08:00",5.0,1001.36,0.05,5.44,254.63,28.85,102.82,131.67,9.75,120.9367,14.4297,"2023-11-06 15:54:26.513313+08:00","Imus"
"2023-11-06 15:54:28+08:00",1.0,208.62,0.2,1.16,33.62,9.06,3.6,4.24,1.38,123.4167,13.4167,"2023-11-06 15:54:29.114928+08:00","Iriga City"
"2023-11-06 15:54:31+08:00",1.0,257.02,0.24,2.91,54.36,1.91,3.65,5.25,3.36,122.9888,10.2048,"2023-11-06 15:54:31.733806+08:00","Isabela"
"2023-11-06 15:54:33+08:00",2.0,270.37,0.23,2.36,62.23,1.3,8.79,9.79,3.1,122.8122,9.9889,"2023-11-06 15:54:33.455405+08:00","Kabankalan"
"2023-11-06 15:54:35+08:00",5.0,781.06,0.13,5.74,211.72,5.19,44.1,47.98,31.67,125.0894,7.0083,"2023-11-06 15:54:35.695615+08:00","Kidapawan"
"2023-11-06 15:54:37+08:00",2.0,500.68,0.14,5.31,65.09,1.77,14.84,17.29,12.29,124.8469,6.5031,"2023-11-06 15:54:38.064434+08:00","Koronadal"
"2023-11-06 15:54:39+08:00",1.0,196.93,0.11,0.93,43.63,1.16,1.67,2.9,0.52,122.9208,10.4233,"2023-11-06 15:54:39.474673+08:00","La Carlota"
"2023-11-06 15:54:40+08:00",1.0,236.99,0.27,2.42,28.61,0.87,2.26,2.61,1.05,125.7022,6.0872,"2023-11-06 15:54:40.839883+08:00","Lamitan"
"2023-11-06 15:54:43+08:00",1.0,230.31,0.01,0.17,58.65,0.14,1.73,2.13,0.41,120.5936,18.1989,"2023-11-06 15:54:43.311783+08:00","Laoag"
"2023-11-06 15:54:45+08:00",1.0,250.34,0.38,3.04,52.93,4.05,5.27,6.96,2.82,123.9494,10.3103,"2023-11-06 15:54:45.826816+08:00","Lapu-Lapu City"
"2023-11-06 15:54:47+08:00",5.0,1001.36,0.05,5.44,254.63,28.85,102.82,131.67,9.75,120.9828,14.4506,"2023-11-06 15:54:47.626027+08:00","Las Piñas"
"2023-11-06 15:54:48+08:00",2.0,297.07,0.22,2.38,42.92,7.21,14.82,15.48,1.49,123.7333,13.1333,"2023-11-06 15:54:49.105832+08:00","Legazpi City"
"2023-11-06 15:54:50+08:00",1.0,186.92,0.06,0.52,41.84,7.27,2.06,2.41,0.47,123.5325,13.2403,"2023-11-06 15:54:50.573581+08:00","Ligao"
"2023-11-06 15:54:53+08:00",1.0,230.31,0.07,2.23,52.21,1.45,1.94,3.47,1.63,121.1667,13.95,"2023-11-06 15:54:53.242156+08:00","Lipa City"
"2023-11-06 15:54:54+08:00",1.0,243.66,0.18,1.67,37.55,1.25,4.36,5.01,1.93,122.5967,10.8794,"2023-11-06 15:54:54.652865+08:00","Lucena"
"2023-11-06 15:54:55+08:00",1.0,243.66,0.18,1.67,37.55,1.25,4.36,5.01,1.93,122.4347,10.8925,"2023-11-06 15:54:56.133936+08:00","Maasin"
"2023-11-06 15:54:57+08:00",2.0,307.08,0.14,1.93,71.53,0.77,11.62,13.13,2.25,120.5736,15.2216,"2023-11-06 15:54:57.449335+08:00","Mabalacat City"
"2023-11-06 15:54:58+08:00",3.0,1174.93,1.93,43.87,66.52,33.38,29.7,40.84,13.81,121.0327,14.5503,"2023-11-06 15:54:58.820544+08:00","Makati City"
"2023-11-06 15:55:01+08:00",3.0,243.66,0.03,0.98,101.57,4.83,14.83,16.8,0.01,119.9379,15.6361,"2023-11-06 15:55:01.465541+08:00","Malabon"
"2023-11-06 15:55:03+08:00",1.0,220.3,0.27,2.1,49.35,0.83,2.14,3.31,4.62,125.0833,8.15,"2023-11-06 15:55:03.344539+08:00","Malaybalay"
"2023-11-06 15:55:04+08:00",2.0,230.31,0.17,2.06,60.8,1.33,1.03,2.62,1.33,120.8117,14.8419,"2023-11-06 15:55:04.932230+08:00","Malolos"
"2023-11-06 15:55:07+08:00",3.0,1174.93,1.93,43.87,66.52,33.38,29.7,40.84,13.81,121.0409,14.5832,"2023-11-06 15:55:07.259999+08:00","Mandaluyong City"
"2023-11-06 15:55:08+08:00",1.0,250.34,0.38,3.04,52.93,4.05,5.27,6.96,2.82,123.9333,10.3333,"2023-11-06 15:55:08.611248+08:00","Mandaue City"
"2023-11-06 15:55:09+08:00",2.0,383.85,0.39,8.65,81.54,8.23,6.13,12.75,3.86,120.9822,14.6042,"2023-11-06 15:55:10.166320+08:00","Manila"
"2023-11-06 15:55:11+08:00",2.0,494.0,0.32,9.34,70.81,3.28,16.18,18.17,21.28,124.2928,7.9986,"2023-11-06 15:55:11.573406+08:00","Marawi"
"2023-11-06 15:55:12+08:00",1.0,185.25,0.08,0.81,41.84,0.68,0.67,1.17,0.07,125.4708,9.7339,"2023-11-06 15:55:13.204385+08:00","Mati"
"2023-11-06 15:55:15+08:00",2.0,383.85,0.39,8.65,81.54,8.23,6.13,12.75,3.86,120.9608,14.7369,"2023-11-06 15:55:15.945441+08:00","Meycauayan"
"2023-11-06 15:55:17+08:00",1.0,243.66,0.06,1.25,55.08,0.35,1.26,1.66,1.08,120.9031,15.7161,"2023-11-06 15:55:18.187182+08:00","Muñoz"
"2023-11-06 15:55:19+08:00",1.0,176.91,0.05,0.39,33.26,4.29,1.04,1.69,0.32,123.1814,13.6192,"2023-11-06 15:55:19.721468+08:00","Naga"
"2023-11-06 15:55:21+08:00",2.0,383.85,0.39,8.65,81.54,8.23,6.13,12.75,3.86,120.95,14.6667,"2023-11-06 15:55:21.829283+08:00","Navotas"
"2023-11-06 15:55:23+08:00",2.0,257.02,0.09,1.29,70.81,1.79,4.24,4.95,1.12,120.2828,14.8292,"2023-11-06 15:55:23.634130+08:00","Olongapo"
"2023-11-06 15:55:25+08:00",1.0,205.28,0.2,1.32,32.19,0.48,1.08,1.59,1.14,124.6075,11.0064,"2023-11-06 15:55:25.293677+08:00","Ormoc"
"2023-11-06 15:55:26+08:00",1.0,188.59,0.02,0.12,46.49,0.24,1.0,1.77,0.14,123.8044,8.4858,"2023-11-06 15:55:27.059377+08:00","Oroquieta"
"2023-11-06 15:55:28+08:00",1.0,223.64,0.1,1.35,43.27,0.47,2.09,2.51,0.8,123.8333,8.15,"2023-11-06 15:55:28.456143+08:00","Ozamiz City"
"2023-11-06 15:55:29+08:00",1.0,287.06,0.26,2.49,25.75,0.71,2.78,3.43,3.04,123.43700000000001,7.8257,"2023-11-06 15:55:29.820867+08:00","Pagadian"
"2023-11-06 15:55:32+08:00",1.0,267.03,0.09,2.87,52.93,0.81,1.53,1.96,2.12,121.0833,15.55,"2023-11-06 15:55:32.236554+08:00","Palayan City"
"2023-11-06 15:55:34+08:00",1.0,320.44,0.71,6.68,43.27,1.97,2.61,3.68,2.12,125.6842,7.3081,"2023-11-06 15:55:34.260318+08:00","Panabo"
"2023-11-06 15:55:36+08:00",3.0,1174.93,1.93,43.87,66.52,33.38,29.7,40.84,13.81,121.0175,14.4816,"2023-11-06 15:55:36.286595+08:00","Paranaque City"
"2023-11-06 15:55:37+08:00",3.0,1174.93,1.93,43.87,66.52,33.38,29.7,40.84,13.81,121.065,14.587,"2023-11-06 15:55:38.130869+08:00","Pasig"
"2023-11-06 15:55:39+08:00",1.0,211.95,0.01,1.46,24.68,0.51,1.17,1.34,0.14,118.7333,9.7333,"2023-11-06 15:55:39.737947+08:00","Puerto Princesa City"
"2023-11-06 15:55:42+08:00",2.0,357.15,0.85,8.4,60.08,9.54,3.98,10.87,3.48,121.0333,14.6333,"2023-11-06 15:55:42.429095+08:00","Quezon City"
"2023-11-06 15:55:44+08:00",1.0,313.76,0.12,1.78,49.35,0.42,8.95,10.04,3.07,121.6201,17.1189,"2023-11-06 15:55:44.765108+08:00","Roxas"
"2023-11-06 15:55:46+08:00",1.0,181.91,0.03,0.22,40.77,0.35,1.12,1.64,0.04,123.4242,10.9447,"2023-11-06 15:55:47.033028+08:00","Sagay"
"2023-11-06 15:55:48+08:00",2.0,340.46,0.31,4.16,92.98,3.55,10.55,18.08,3.14,120.5431,14.7678,"2023-11-06 15:55:48.387784+08:00","Samal"
"2023-11-06 15:55:49+08:00",1.0,240.33,0.05,1.78,57.94,0.51,1.08,1.44,1.16,120.8931,15.5448,"2023-11-06 15:55:49.869210+08:00","San Carlos"
"2023-11-06 15:55:51+08:00",2.0,297.07,0.02,0.26,73.67,0.52,13.6,15.52,1.22,120.3166,16.6159,"2023-11-06 15:55:51.855992+08:00","San Fernando"
"2023-11-06 15:55:53+08:00",2.0,206.95,0.03,0.37,63.66,0.16,2.72,7.47,0.77,121.8712,17.8927,"2023-11-06 15:55:53.292921+08:00","San Jose"
"2023-11-06 15:55:54+08:00",1.0,226.97,0.16,1.8,54.36,1.28,1.33,4.0,1.33,121.0453,14.8139,"2023-11-06 15:55:54.646263+08:00","San Jose del Monte"
"2023-11-06 15:55:56+08:00",2.0,257.02,0.01,0.55,70.81,0.5,7.56,7.86,0.75,120.4583,17.7422,"2023-11-06 15:55:56.945985+08:00","San Juan"
"2023-11-06 15:55:58+08:00",2.0,253.68,0.24,2.49,61.51,1.97,1.31,2.84,1.66,120.6197,14.9696,"2023-11-06 15:55:58.254957+08:00","San Pablo"
"2023-11-06 15:55:59+08:00",2.0,333.79,0.13,1.8,70.1,0.45,10.92,12.07,4.5,121.8833,17.2,"2023-11-06 15:55:59.644898+08:00","San Pedro"
"2023-11-06 15:56:01+08:00",1.0,240.33,0.05,1.78,57.94,0.51,1.08,1.44,1.16,120.9378,15.4238,"2023-11-06 15:56:01.424952+08:00","Santa Rosa"
"2023-11-06 15:56:03+08:00",2.0,313.76,0.02,1.14,62.94,0.66,10.54,11.26,2.41,120.4449,17.2939,"2023-11-06 15:56:03.499389+08:00","Santiago"
"2023-11-06 15:56:05+08:00",1.0,323.77,0.07,3.6,43.27,0.66,7.66,8.87,3.07,121.7645,17.3997,"2023-11-06 15:56:05.451046+08:00","Santo Tomas"
"2023-11-06 15:56:07+08:00",1.0,186.92,0.07,0.47,41.13,0.85,1.62,2.82,0.2,122.9667,10.8,"2023-11-06 15:56:07.482666+08:00","Silay City"
"2023-11-06 15:56:10+08:00",2.0,267.03,0.16,3.21,65.8,1.73,8.95,9.61,2.63,122.4042,9.7519,"2023-11-06 15:56:10.286221+08:00","Sipalay"
"2023-11-06 15:56:11+08:00",1.0,185.25,0.08,0.81,41.84,0.68,0.67,1.17,0.07,125.5,9.75,"2023-11-06 15:56:11.588675+08:00","Surigao City"
"2023-11-06 15:56:14+08:00",1.0,211.95,0.26,1.76,36.48,6.86,2.36,3.34,1.24,123.7336,13.3586,"2023-11-06 15:56:14.318999+08:00","Tabaco"
"2023-11-06 15:56:15+08:00",1.0,236.99,0.03,0.56,47.92,0.17,3.14,3.54,1.28,121.4443,17.4189,"2023-11-06 15:56:15.808008+08:00","Tabuk"
"2023-11-06 15:56:17+08:00",1.0,203.61,0.17,1.52,27.18,0.51,0.91,1.49,0.87,125.0,11.25,"2023-11-06 15:56:17.817418+08:00","Tacloban City"
"2023-11-06 15:56:19+08:00",1.0,297.07,0.15,1.67,39.34,0.38,4.11,4.71,3.33,124.6764,6.6925,"2023-11-06 15:56:19.651232+08:00","Tacurong"
"2023-11-06 15:56:20+08:00",2.0,273.71,0.45,6.68,61.51,7.39,4.43,6.49,1.55,120.9337,14.1059,"2023-11-06 15:56:21.023905+08:00","Tagaytay City"
"2023-11-06 15:56:22+08:00",3.0,1174.93,1.93,43.87,66.52,33.38,29.7,40.84,13.81,121.0792,14.5243,"2023-11-06 15:56:23.216537+08:00","Taguig"
"2023-11-06 15:56:24+08:00",1.0,181.91,0.06,0.48,33.62,0.26,0.68,1.59,0.14,122.9226,14.1343,"2023-11-06 15:56:24.654955+08:00","Talisay"
"2023-11-06 15:56:27+08:00",1.0,307.08,0.55,8.82,56.51,8.82,4.04,7.35,2.22,121.1498,14.0863,"2023-11-06 15:56:27.287841+08:00","Tanauan"
"2023-11-06 15:56:29+08:00",1.0,183.58,0.02,0.72,26.11,0.19,0.71,1.26,0.4,126.1986,9.0783,"2023-11-06 15:56:30.076683+08:00","Tandag"
"2023-11-06 15:56:31+08:00",1.0,186.92,0.07,0.47,41.13,0.85,1.62,2.82,0.2,122.9306,10.6339,"2023-11-06 15:56:31.570788+08:00","Tangub"
"2023-11-06 15:56:33+08:00",1.0,201.94,0.07,0.72,56.51,0.64,4.51,5.18,1.14,123.1583,9.5153,"2023-11-06 15:56:34.193796+08:00","Tanjay"
"2023-11-06 15:56:36+08:00",2.0,340.46,0.15,3.26,73.67,1.13,13.77,15.14,3.1,120.5986,15.4889,"2023-11-06 15:56:36.558701+08:00","Tarlac City"
"2023-11-06 15:56:37+08:00",1.0,216.96,0.13,2.59,42.56,1.76,1.81,3.24,0.68,121.5911,14.0289,"2023-11-06 15:56:37.845773+08:00","Tayabas"
"2023-11-06 15:56:39+08:00",1.0,203.61,0.07,0.87,50.78,1.07,2.99,5.4,2.6,123.6333,10.3833,"2023-11-06 15:56:39.648867+08:00","Toledo City"
"2023-11-06 15:56:42+08:00",2.0,220.3,0.04,0.57,60.8,0.2,2.12,3.74,1.74,121.7269,17.6131,"2023-11-06 15:56:42.377612+08:00","Tuguegarao"
"2023-11-06 15:56:44+08:00",3.0,460.63,0.14,5.57,98.71,3.79,33.3,35.41,4.75,120.5711,15.9761,"2023-11-06 15:56:45.128942+08:00","Urdaneta"
"2023-11-06 15:56:46+08:00",1.0,205.28,0.09,0.99,36.84,0.4,1.01,1.36,0.83,124.5725,11.1089,"2023-11-06 15:56:46.818960+08:00","Valencia"
"2023-11-06 15:56:48+08:00",2.0,383.85,0.39,8.65,81.54,8.23,6.13,12.75,3.86,120.9667,14.7,"2023-11-06 15:56:48.614360+08:00","Valenzuela"
"2023-11-06 15:56:49+08:00",1.0,183.58,0.05,0.34,38.98,0.93,1.32,2.1,0.16,123.0778,10.9,"2023-11-06 15:56:50.080415+08:00","Victorias"
"2023-11-06 15:56:52+08:00",2.0,290.39,0.02,0.77,84.4,0.8,20.55,21.62,0.12,120.3869,17.5747,"2023-11-06 15:56:52.761060+08:00","Vigan"
"2023-11-06 15:56:54+08:00",1.0,383.85,0.84,9.0,35.05,2.56,3.29,3.57,3.17,122.0696,6.9135,"2023-11-06 15:56:54.980783+08:00","Zamboanga City"
"2023-11-06 18:07:01+08:00",2.0,390.53,0.0,3.94,70.1,1.06,22.63,23.95,2.41,119.9811,16.1561,"2023-11-06 18:07:01.435441+08:00","Alaminos"
"2023-11-06 18:07:03+08:00",1.0,433.92,0.0,13.37,40.41,4.77,8.45,10.28,5.38,120.5833,15.15,"2023-11-06 18:07:03.271584+08:00","Angeles City"
"2023-11-06 18:07:05+08:00",1.0,260.35,0.0,3.0,45.06,0.66,1.64,2.17,1.63,121.19,15.6181,"2023-11-06 18:07:06.099173+08:00","Antipolo"
"2023-11-06 18:07:07+08:00",1.0,181.91,0.0,0.87,35.41,1.46,1.3,1.52,0.46,123.5085,12.2285,"2023-11-06 18:07:08.196449+08:00","Bacolod"
"2023-11-06 18:07:10+08:00",3.0,687.6,0.0,16.11,125.89,16.69,35.23,54.78,5.76,120.929,14.459000000000001,"2023-11-06 18:07:10.706717+08:00","Bacoor"
"2023-11-06 18:07:12+08:00",1.0,213.62,0.0,1.97,37.19,1.45,1.62,2.64,0.75,122.8333,10.5333,"2023-11-06 18:07:12.920099+08:00","Bago City"
"2023-11-06 18:07:15+08:00",2.0,320.44,0.0,4.28,51.5,1.97,12.09,12.7,2.31,120.5931,16.4164,"2023-11-06 18:07:15.415924+08:00","Baguio"
"2023-11-06 18:07:16+08:00",1.0,206.95,0.0,1.11,53.64,0.73,4.55,5.31,1.33,123.1228,9.5911,"2023-11-06 18:07:17.145107+08:00","Bais"
"2023-11-06 18:07:18+08:00",2.0,387.19,0.01,8.23,70.81,3.7,8.31,15.56,2.88,120.5361,14.6761,"2023-11-06 18:07:18.543721+08:00","Balanga"
"2023-11-06 18:07:19+08:00",1.0,267.03,0.0,1.61,55.79,0.57,2.4,2.86,1.43,120.5649,18.0554,"2023-11-06 18:07:20.063749+08:00","Batac City"
"2023-11-06 18:07:21+08:00",1.0,257.02,0.01,12.17,36.12,8.35,3.06,3.95,1.79,121.05,13.75,"2023-11-06 18:07:21.848899+08:00","Batangas City"
"2023-11-06 18:07:23+08:00",1.0,206.95,0.0,1.59,52.21,0.59,3.32,3.67,1.31,122.8011,9.3636,"2023-11-06 18:07:24.167916+08:00","Bayawan"
"2023-11-06 18:07:25+08:00",1.0,180.24,0.0,0.25,42.2,8.23,2.04,2.37,0.0,123.7135,13.4083,"2023-11-06 18:07:25.618101+08:00","Baybay"
